Antenna,Pad,Position X,Position Y,Position Z,Longitude,Latitude,High
DA63,A019,2225052.49964,-5440067.56616,-2481672.78689,-67.7548531928,-23.0291279112,5072.76547834
,A041,2225067.70602,-5440032.88494,-2481734.83716,-67.754588,-23.02973613,5072.796
,J509,2225068.39214,-5440126.96366,-2481529.31513,-67.7549289993,-23.0277213042,5072.77372738
,W203,2219338.21199,-5442590.38412,-2480450.38831,-67.81572027,-23.01835906,4755.83
,A005,2225117.50751,-5440026.93762,-2481703.37039,-67.7541167047,-23.029427727,5072.77121769
,A103,2225566.62841,-5439973.49144,-2481384.54408,-67.74986725,-23.02635474,5059.022
,P408,2229428.0744,-5439729.00968,-2478052.70372,-67.71413334,-22.99432145,4895.197
,S301,2226262.61087,-5438426.42889,-2484135.07332,-67.73787511,-23.05331722,5060.479
DA41,A079,2225120.08538,-5439944.73708,-2481883.56321,-67.7537900768,-23.0311890616,5074.14586179
,A117,2224141.59915,-5440472.37887,-2481569.92183,-67.7645659049,-23.0281681294,5060.06875365
DV15,A042,2225093.38498,-5440028.3282,-2481720.52967,-67.7543394881,-23.0295979006,5072.26402001
DA60,A018,2225058.69013,-5440058.79723,-2481686.3725,-67.7547649765,-23.0292610955,5072.76748345
,W204,2220841.69532,-5442386.74023,-2479889.29286,-67.80140059,-23.01236119,4885.571
,A004,2225092.17982,-5440046.02385,-2481684.35777,-67.7544156677,-23.0292413459,5072.76679695
,A104,2224582.95424,-5440342.51119,-2481488.82318,-67.76010438,-23.02732946,5071.436
,P407,2229564.0824,-5439527.72207,-2478328.32776,-67.71216281,-22.99708545,4878.904
,A118,2225666.6159,-5439439.60587,-2482514.87676,-67.74699427,-23.03735094,5081.362
,A017,2225096.72889,-5440060.56829,-2481648.62554,-67.7544282987,-23.0288910477,5072.76241136
,W201,2217992.99108,-5442743.39796,-2481000.85906,-67.82842677,-23.02422234,4634.155
DV23,A007,2225115.36654,-5440046.31084,-2481663.0764,-67.7542075195,-23.0290327145,5072.7644624
,A131,2226198.66212,-5439129.43098,-2482768.62065,-67.7410485178,-23.0397598577,5101.93146923
DV13,A067,2225178.45394,-5440019.89302,-2481660.05542,-67.7535408048,-23.0290096324,5071.06044631
,A100,2225447.57989,-5439788.63698,-2481910.85314,-67.75025903,-23.03148797,5065.971
,A048,2225085.96694,-5440020.5544,-2481744.15703,-67.75437773,-23.0298294,5072.301
,A129,2226327.171,-5440026.45875,-2480528.37633,-67.74320132,-23.01805581,5034.384
,A119,2225174.61624,-5440520.87311,-2480580.54323,-67.75542421,-23.01841432,5074.269
,A099,2224616.46307,-5440198.14541,-2481767.2918,-67.75926937,-23.03006862,5069.066
